Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"1140","BANK ALBILAD","Financials","Equity","70,545.33","0.03","70,545.33","9,258.00","-","SA000A0D9HK3","B12LZP7","7.62","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR"
"9910","FENG TAY ENTERPRISES LTD","Consumer Discretionary","Equity","70,484.15","0.03","70,484.15","9,955.00","S63360556","TW0009910000","6336055","7.08","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"KLK","KUALA LUMPUR KEPONG","Consumer Staples","Equity","70,300.59","0.03","70,300.59","11,525.00","S64974462","MYL2445OO004","6497446","6.10","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Utilities","Equity","70,198.62","0.03","70,198.62","58,015.00","-","TH8319010R14","BFN4H35","1.21","Thailand","Stock Exchange Of Thailand","USD","30.13","THB"
"PGN","POLSKIE GORNICTWO NAFTOWE I GAZOWN","Energy","Equity","69,566.38","0.03","69,566.38","44,029.00","-","PLPGNIG00014","B0L9113","1.58","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.72","PLN"
"QEWS","QATAR ELECTRICITY AND WATER","Utilities","Equity","69,280.86","0.03","69,280.86","13,638.00","S65666141","QA0006929812","6566614","5.08","Qatar","Qatar Exchange","USD","3.64","QAR"
"601398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","69,056.51","0.03","69,056.51","89,684.00","-","CNE000001P37","BP3R217","0.77","China","Shanghai Stock Exchange","USD","6.48","CNY"
"011780","KUMHO PETRO CHEMICAL LTD","Materials","Equity","68,872.96","0.03","68,872.96","474.00","S64993231","KR7011780004","6499323","145.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","68,832.17","0.03","68,832.17","38,670.00","S24919144","MXP606941179","2491914","1.78","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN"
"MINT.R","MINOR INTERNATIONAL PUBLIC NON VOT","Consumer Discretionary","Equity","68,587.44","0.03","68,587.44","77,940.00","-","TH0128010R17","B018C28","0.88","Thailand","Stock Exchange Of Thailand","USD","30.13","THB"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","68,444.67","0.03","68,444.67","27,161.00","-","MX01OR010004","BH3T8K8","2.52","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN"
"2492","WALSIN TECHNOLOGY CORP","Information Technology","Equity","68,179.54","0.03","68,179.54","7,882.00","S60896941","TW0002492006","6089694","8.65","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"IRAO","INTER RAO EES","Utilities","Equity","68,097.96","0.03","68,097.96","972,828.00","-","RU000A0JPNM1","B5B2VL7","0.07","Russian Federation","Standard-Classica-Forts","USD","74.63","RUB"
"BERGEPAINT","BERGER PAINTS INDIA LTD","Materials","Equity","68,057.17","0.03","68,057.17","6,159.00","-","INE463A01038","BV8TBJ1","11.05","India","National Stock Exchange Of India","USD","73.39","INR"
"MOTHERSUMI","MOTHERSON SUMI SYSTEMS LTD","Consumer Discretionary","Equity","68,036.78","0.03","68,036.78","29,453.00","S67439901","INE775A01035","6743990","2.31","India","National Stock Exchange Of India","USD","73.39","INR"
