Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RB.","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","261,947.72","2.84","261,947.72","2,929.00","-","GB00B24CGK77","B24CGK7","89.43","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"BHP","BHP GROUP PLC","Materials","Equity","228,892.99","2.48","228,892.99","8,700.00","-","GB00BH0P3Z91","BH0P3Z9","26.31","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"USD","USD CASH","Cash and/or Derivatives","Cash","217,206.89","2.36","217,206.89","2,172.00","-","-","-","100.00","United States","-","USD","1.00","USD"
"PRU","PRUDENTIAL PLC","Financials","Equity","197,839.18","2.15","197,839.18","10,746.00","S07099542","GB0007099541","0709954","18.41","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"REL","RELX PLC","Industrials","Equity","194,939.14","2.12","194,939.14","7,957.00","-","GB00B2B0DG97","B2B0DG9","24.50","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"VOD","VODAFONE GROUP PLC","Communication","Equity","182,636.09","1.98","182,636.09","110,689.00","-","GB00BH4HKS39","BH4HKS3","1.65","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"NG.","NATIONAL GRID PLC","Utilities","Equity","171,425.62","1.86","171,425.62","14,503.00","-","GB00BDR05C01","BDR05C0","11.82","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","167,444.97","1.82","167,444.97","5,053.00","-","GB00B1XZS820","B1XZS82","33.14","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","160,401.23","1.74","160,401.23","1,303.00","-","GB00B0SWJX34","B0SWJX3","123.13","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","145,222.09","1.58","145,222.09","290,444.00","S08706129","GB0008706128","0870612","0.50","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"EXPN","EXPERIAN PLC","Industrials","Equity","143,277.37","1.55","143,277.37","3,774.00","-","GB00B19NLV48","B19NLV4","37.96","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"BARC","BARCLAYS PLC","Financials","Equity","143,251.58","1.55","143,251.58","71,269.00","S31348659","GB0031348658","3134865","2.01","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","136,882.18","1.49","136,882.18","7,347.00","-","GB00BD6K4575","BD6K457","18.63","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"GLEN","GLENCORE PLC","Materials","Equity","131,085.79","1.42","131,085.79","41,222.00","-","JE00B4T3BW64","B4T3BW6","3.18","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"TSCO","TESCO PLC","Consumer Staples","Equity","127,583.26","1.38","127,583.26","40,374.00","S08847097","GB0008847096","0884709","3.16","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"FERG","FERGUSON PLC","Industrials","Equity","112,477.82","1.22","112,477.82","926.00","-","JE00BJVNSS43","BJVNSS4","121.44","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Equity","89,421.23","0.97","89,421.23","24,566.00","S05603998","GB0005603997","0560399","3.64","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","88,519.34","0.96","88,519.34","13,251.00","S02634947","GB0002634946","0263494","6.68","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SSE","SSE PLC","Utilities","Equity","87,798.02","0.95","87,798.02","4,283.00","S07908734","GB0007908733","0790873","20.50","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"AHT","ASHTEAD GROUP PLC","Industrials","Equity","86,965.22","0.94","86,965.22","1,850.00","S00536730","GB0000536739","0053673","47.00","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"IMB","IMPERIAL BRANDS PLC","Consumer Staples","Equity","81,812.77","0.89","81,812.77","3,898.00","S04544920","GB0004544929","0454492","20.99","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","74,433.70","0.81","74,433.70","3,606.00","S09223207","GB0009223206","0922320","20.64","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"AV.","AVIVA PLC","Financials","Equity","71,909.53","0.78","71,909.53","16,159.00","S02162386","GB0002162385","0216238","4.45","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","70,366.46","0.76","70,366.46","11,047.00","S04082848","GB0004082847","0408284","6.37","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"BT.A","BT GROUP PLC","Communication","Equity","66,452.15","0.72","66,452.15","36,714.00","S30913578","GB0030913577","3091357","1.81","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","63,534.61","0.69","63,534.61","4,906.00","-","GB00B5ZN1N88","B5ZN1N8","12.95","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"III","3I GROUP PLC","Financials","Equity","63,440.64","0.69","63,440.64","4,008.00","-","GB00B1YW4409","B1YW440","15.83","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"OCDO","OCADO GROUP PLC","Consumer Discretionary","Equity","62,593.11","0.68","62,593.11","2,002.00","-","GB00B3MBS747","B3MBS74","31.26","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"WPP","WPP PLC","Communication","Equity","55,186.40","0.60","55,186.40","5,044.00","-","JE00B8KF9B49","B8KF9B4","10.94","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","53,200.23","0.58","53,200.23","7,633.00","-","GB00B082RF11","B082RF1","6.97","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"NXT","NEXT PLC","Consumer Discretionary","Equity","53,038.09","0.58","53,038.09","548.00","S32089864","GB0032089863","3208986","96.86","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","52,407.97","0.57","52,407.97","34,479.00","-","GB00B63H8491","B63H849","1.52","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"HLMA","HALMA PLC","Information Technology","Equity","52,342.56","0.57","52,342.56","1,563.00","S04052072","GB0004052071","0405207","33.48","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"CRDA","CRODA INTERNATIONAL PLC","Materials","Equity","51,983.28","0.56","51,983.28","577.00","-","GB00BJFFLV09","BJFFLV0","90.16","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","51,315.39","0.56","51,315.39","665.00","S31638364","GB0031638363","3163836","77.20","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"PSN","PERSIMMON PLC","Consumer Discretionary","Equity","49,683.88","0.54","49,683.88","1,314.00","S06825384","GB0006825383","0682538","37.82","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","48,671.45","0.53","48,671.45","20,029.00","-","GB00BZ1G4322","BZ1G432","2.43","United Kingdom","London Stock Exchange","USD","0.73","GBP"
