Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SRG","SNAM","Utilities","Equity","1,133,073.79","0.22","1,133,073.79","200,190.00","S72514706","IT0003153415","7251470","5.66","Italy","Borsa Italiana","USD","0.81","EUR"
"SK3","SMURFIT KAPPA GROUP PLC","Materials","Equity","1,132,568.02","0.22","1,132,568.02","24,061.00","-","IE00B1RR8406","B1RR828","47.07","Ireland","Irish Stock Exchange - All Market","USD","0.81","EUR"
"HEI","HEIDELBERGCEMENT AG","Materials","Equity","1,132,011.68","0.22","1,132,011.68","14,631.00","S51206795","DE0006047004","5120679","77.37","Germany","Xetra","USD","0.81","EUR"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","1,130,696.68","0.22","1,130,696.68","15,137.00","S44912350","IE0004927939","4491235","74.70","Ireland","Irish Stock Exchange - All Market","USD","0.81","EUR"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","1,130,646.10","0.22","1,130,646.10","11,104.00","S70973284","BE0003797140","7097328","101.82","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"AENA","AENA SME SA","Industrials","Equity","1,126,549.37","0.22","1,126,549.37","6,635.00","-","ES0105046009","BVRZ8L1","169.78","Spain","Bolsa De Madrid","USD","0.81","EUR"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","1,102,727.66","0.22","1,102,727.66","351,187.00","S59560789","NL0000009082","5956078","3.14","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"CA","CARREFOUR SA","Consumer Staples","Equity","1,096,961.90","0.22","1,096,961.90","59,520.00","S56415672","FR0000120172","5641567","18.43","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"LEG","LEG IMMOBILIEN N AG","Real Estate","Equity","1,094,989.40","0.22","1,094,989.40","7,005.00","-","DE000LEG1110","B9G6L89","156.31","Germany","Xetra","USD","0.81","EUR"
"STERV","STORA ENSO CLASS R","Materials","Equity","1,090,285.75","0.22","1,090,285.75","57,203.00","S50726736","FI0009005961","5072673","19.06","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
"FORTUM","FORTUM","Utilities","Equity","1,087,251.14","0.22","1,087,251.14","43,665.00","S55795504","FI0009007132","5579550","24.90","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
"PUB","PUBLICIS GROUPE SA","Communication","Equity","1,075,618.46","0.21","1,075,618.46","21,304.00","S43804293","FR0000130577","4380429","50.49","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
